Date,Open,High,Low,Close
05/07/2015,26721.34,26850.37,26423.99,26599.11
05/08/2015,26814.38,27196.28,26814.38,27105.39
05/11/2015,27249.42,27544.24,27231.28,27507.3
05/12/2015,27502.91,27502.91,26837.39,26877.48
05/13/2015,27023.71,27299.8,26750.01,27251.1
05/14/2015,27290.17,27293.99,26948.62,27206.06
05/15/2015,27233.9,27379.57,27159.76,27324
05/18/2015,27416.97,27725.97,27370.28,27687.3
05/19/2015,27663.08,27872.23,27574.07,27645.53
05/20/2015,27749.3,27903.01,27743.99,27837.21
05/21/2015,27885.36,27911.44,27712.73,27809.35
05/22/2015,27849.54,28071.16,27828.61,27957.5
05/25/2015,27893.25,27903.29,27614.32,27643.88
05/26/2015,27633.66,27675.94,27473.54,27531.41
05/27/2015,27447.4,27595.8,27363.72,27564.66
05/28/2015,27619.31,27666.37,27354.35,27506.71
05/29/2015,27553.03,27888.32,27467.23,27828.44
06/01/2015,27770.79,27959.43,27737.58,27848.99
06/02/2015,27890.73,27902.53,27146.68,27188.38
06/03/2015,27230.68,27276.22,26698.26,26837.2
06/04/2015,26940.64,26948.84,26551.97,26813.42
06/05/2015,26819.82,27014.42,26718.44,26768.49
06/08/2015,26814.31,26827.06,26472.87,26523.09
06/09/2015,26510.29,26604.65,26438.32,26481.25
06/10/2015,26517.32,26934.74,26493.29,26840.5
06/11/2015,26959.98,27000.14,26348.93,26370.98
06/12/2015,26340.32,26489.58,26307.07,26425.3
06/15/2015,26498.67,26728.6,26307.84,26586.55
06/16/2015,26586.86,26731.35,26379.93,26686.51
06/17/2015,26815.41,26983.48,26728.89,26832.66
06/18/2015,26916.99,27175.39,26910.26,27115.83
06/19/2015,27207.76,27404.6,27202.38,27316.17
06/22/2015,27427.19,27782.31,27417.03,27730.21
06/23/2015,27760.11,27882.66,27666.59,27804.37
06/24/2015,27852.32,27948.24,27647.29,27729.67
06/25/2015,27660.22,27968.75,27635.76,27895.97
06/26/2015,27880.72,27921.86,27675.16,27811.84
06/29/2015,27451.07,27695.32,27209.19,27645.15
06/30/2015,27627.39,27814.53,27570.95,27780.83
07/01/2015,27823.65,28099.25,27799.91,28020.87
07/02/2015,28100.38,28115.96,27906.35,27945.8
07/03/2015,27973.12,28135.43,27897.45,28092.79
07/06/2015,27857.2,28235.31,27774.8,28208.76
07/07/2015,28220.11,28335.23,28084.36,28171.69
07/08/2015,28031.45,28031.45,27635.72,27687.72
